"Feature_ID"	"Alignment_ID"	"Molecule_names"	"KEGG"	"l2fc"	"p"	"FDR"
"IM_NEG_173_009162a7_6103500761035"	364	"trans-Aconitic acid"	"C02341"	0.0532806827330523	0.193734288269609	0.116395053016675
"IM_NEG_173_045548a7_26216412490922"	325	"Shikimic acid"	"C00493"	NA	NA	NA
"IM_NEG_173_1044a7_26744186046511"	261	"L-Arginine"	"C00062"	NA	NA	NA
"IM_NEG_174_088415a7_38007380073801"	215	"Citrulline"	"C00327"	0.0823232784163456	-0.445551246544556	0.195968892155582
"IM_NEG_179_034983a6_79809653297077"	168	"(4-hydroxyphenyl)pyruvic acid"	"C01179"	NA	NA	NA
"IM_NEG_179_034983a7_50750750750751"	209	"Caffeic acid"	"C01481"	NA	NA	NA
"IM_NEG_179_056112a7_60456273764259"	286	"Myoinositol"	"C00137"	NA	NA	NA
"IM_NEG_180_066617a6_89655172413793"	281	"L-Tyrosine"	"C00082"	NA	NA	NA
"IM_NEG_181_050633a7_0323488045007"	181	"3-(4-hydroxyphenyl)lactic acid"	"C03672"	NA	NA	NA
"IM_NEG_181_050633a7_33675715333822"	248	"Homovanillic acid"	"C05582"	NA	NA	NA
"IM_NEG_181_071762a7_58150113722517"	224	"D-glucitol"	"C00794"	NA	NA	NA
"IM_NEG_184_001648a7_82472613458529"	296	"O-Phospho-L-serine"	"C01005"	NA	NA	NA
"IM_NEG_184_985664a7_8740157480315"	179	"2-phospho-D-glyceric acid"	"C00631"	NA	NA	NA
"IM_NEG_188_035317a7_3909830007391"	258	"Kynurenic acid"	"C01717"	NA	NA	NA
"IM_NEG_188_056447a7_2992700729927"	290	"N-acetyl-L-glutamic acid"	"C00624"	NA	NA	NA
"IM_NEG_189_088081a7_23589001447178"	229	"Diaminopimelic acid"	"C00666"	NA	NA	NA
"IM_NEG_191_019727a7_8064012490242"	214	"Citric acid"	"C00158"	NA	32.9526720556563	0.51505672757959
"IM_NEG_191_019727a7_85545954438335"	254	"Isocitric acid"	"C00311"	NA	32.9526720556563	0.51505672757959
"IM_NEG_193_035377a7_5187969924812"	175	"2-Dehydro-D-gluconate"	"C03342"	NA	NA	NA
"IM_NEG_193_050633a7_13775874375446"	232	"Ferulic acid"	"C01494"	-0.304787856724306	-14.1326964849505	0.51032038474985
"IM_NEG_194_045882a7_27272727272727"	324	"Salicylurate"	"C07588"	NA	NA	NA
"IM_NEG_195_051027a7_54147812971342"	239	"Gluconic acid"	"C00257"	NA	NA	NA
"IM_NEG_199_001314a6_72494956287828"	219	"D-Erythrose 4-phosphate"	"C00279"	NA	NA	NA
"IM_NEG_199_170354a6_48508430609598"	355	"lauric acid"	"C02679"	NA	NA	NA
"IM_NEG_201_1357a6_75219446320054"	230	"Dimethyl-L-arginine"	"C03626"	NA	NA	NA
"IM_NEG_202_050967a7_25689404934688"	182	"3-(indol-3-yl)pyruvic acid"	"C00331"	NA	NA	NA
"IM_NEG_203_082602a6_59195781147001"	223	"D-Tryptophan"	"C00525"	NA	NA	NA
"IM_NEG_203_082602a6_70690811535882"	280	"L-Tryptophan"	"C00078"	NA	NA	NA
"IM_NEG_203_082602a7_01262272089762"	222	"D-Tryptophan"	"C00525"	NA	NA	NA
"IM_NEG_204_030232a7_4294205052006"	343	"Xanthurenic acid"	"C02470"	NA	NA	NA
"IM_NEG_218_103397a6_8212824010914"	170	"(R)-Pantothenic acid"	"C00864"	NA	NA	NA
"IM_NEG_221_060152a7_03729767769177"	264	"L-Cystathionine"	"C02291"	0.651012327291216	-0.0299884823906431	1.23319291127733
"IM_NEG_225_099314a6_53167864141084"	210	"Carnosine"	"C00386"	NA	NA	NA
"IM_NEG_226_08333a6_70690811535882"	172	"2'-Deoxycytidine"	"C00881"	NA	NA	NA
"IM_NEG_239_016572a6_94444444444444"	266	"L-Cystine"	"C00491"	NA	NA	NA
"IM_NEG_241_082996a6_48508430609598"	330	"Thymidine"	"C00214"	NA	NA	NA
"IM_NEG_242_078245a6_66666666666667"	216	"Cytidine"	"C00475"	-0.241420017286007	-14.2278409755915	0.305923376542734
"IM_NEG_243_06226a6_57894736842105"	337	"Uridine"	"C00299"	NA	NA	NA
"IM_NEG_243_06226a6_65335994677312"	205	"Beta-pseudouridine"	"C02067"	NA	NA	NA
"IM_NEG_243_080887a6_3653723742839"	206	"Biotin"	"C00120"	0.0734763412415219	0.138505219368646	0.144087120321763
"IM_NEG_245_093166a6_19578686493185"	289	"N-acetyl-D-tryptophan"	NA	NA	NA	NA
"IM_NEG_246_017298a6_66222518321119"	315	"Pyridoxal 5'-phosphate"	"C00018"	NA	NA	NA
"IM_NEG_250_094563a6_43500643500643"	171	"2'-Deoxyadenosine"	"C00559"	NA	NA	NA
"IM_NEG_250_094563a6_45577792123951"	190	"5'-Deoxyadenosine"	"C05198"	NA	NA	NA
"IM_NEG_253_217304a5_95947556615018"	359	"palmitoleic acid"	"C08362"	NA	32.919051427978	0.497410996788241
"IM_NEG_255_232954a5_91715976331361"	311	"Palmitic acid"	"C00249"	-0.430798052358448	-30.5127048722853	0.154231188428784
"IM_NEG_259_022443a6_68002672010688"	346	"alpha-D-glucose 1-phosphate"	"C00103"	0.48971314532173	0.51444905470706	0.625771280151481
"IM_NEG_259_022443a6_7476383265857"	237	"Galactose 1-phosphate"	"C00446"	0.55855490306289	1.13126024010826	0.605832038800376
"IM_NEG_259_022443a6_81663258350375"	240	"Glucose 6-phosphate"	"C00092"	0.55855490306289	1.13126024010826	0.605832038800376
"IM_NEG_259_022443a6_83994528043776"	226	"D-mannose 6-phosphate"	"C00275"	0.55855490306289	1.13126024010826	0.605832038800376
"IM_NEG_259_022443a6_84462696783025"	235	"Fructose 6-phosphate"	"C00085"	0.55855490306289	1.13126024010826	0.605832038800376
"IM_NEG_266_089478a6_28140703517588"	173	"2'-Deoxyguanosine"	"C00330"	NA	NA	NA
"IM_NEG_266_089478a6_34115409004439"	198	"Adenosine"	"C00212"	NA	NA	NA
"IM_NEG_267_073494a6_265664160401"	252	"Inosine"	"C00294"	NA	NA	NA
"IM_NEG_269_248604a5_77700751010976"	246	"Heptadecanoic acid"	NA	-3.0956734582025	26.8753076330823	0.96832669003963
"IM_NEG_275_017358a6_8870523415978"	194	"6-Phosphogluconic acid"	"C00345"	0.301461067199437	0.192863912145237	0.526680958177055
"IM_NEG_281_248604a5_67536889897843"	298	"Oleic acid"	"C00712"	-0.905683742691378	-32.7287162344137	0.587456470711701
"IM_NEG_282_084393a6_13496932515337"	243	"Guanosine"	"C00387"	NA	NA	NA
"IM_NEG_283_068408a6_26959247648903"	366	"xanthosine"	"C01762"	NA	NA	NA
"IM_NEG_283_264255a5_64015792442188"	360	"stearic acid"	"C01530"	-0.904557674306676	-32.8092427037512	0.641899390273508
"IM_NEG_285_040462a6_0459492140266"	257	"Kaempferol"	"C05903"	NA	NA	NA
"IM_NEG_289_071762a6_27352572145546"	211	"Catechin"	"C06562"	NA	NA	NA
"IM_NEG_296_082284a5_941770647653"	191	"5'-Methylthioadenosine"	"C00170"	0.134684413909689	0.611264631718578	0.214802424875154
"IM_NEG_306_049661a6_10873549175321"	349	"dCMP"	"C00239"	NA	NA	NA
"IM_NEG_306_07653a6_14250614250614"	241	"Glutathione"	"C00051"	NA	33.0976055793809	0.23367791947235
"IM_NEG_307_033676a6_28140703517588"	352	"dUMP"	"C00365"	NA	NA	NA
"IM_NEG_313_061151a5_97014925373134"	238	"Geranyl-PP"	"C00341"	0.244705686151895	-0.381612989340267	0.5246848452516
"IM_NEG_315_051027a5_74712643678161"	256	"Isorhamnetin"	"C10084"	NA	NA	NA
"IM_NEG_321_049327a6_1050061050061"	193	"5-Thymidylic acid"	"C00364"	0.325157410790377	1.65065544630308	0.264676527425372
"IM_NEG_322_044576a6_05693519079346"	217	"Cytidine monophosphate"	"C00055"	0.119632260488281	0.299983339543818	0.204963843240385
"IM_NEG_323_028591a6_16142945163278"	339	"Uridine 5'-monophosphate"	"C00105"	-0.280178888964201	-14.2671826804303	0.43154779379488
"IM_NEG_330_060894a6_06428138265616"	347	"dAMP"	"C00360"	0.458032945832442	1.08993425744315	0.404369260074928
"IM_NEG_335_222784a5_35331905781585"	356	"leukotriene B4"	"C02165"	NA	NA	NA
"IM_NEG_337_055475a5_86510263929619"	192	"5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide"	"C04734"	0.177386204236575	-1.11887702046323	0.51588138212059
"IM_NEG_341_108936a5_55247084952804"	255	"Isomaltose"	"C00252"	-5.46407545399647	33.0062258132766	0.775633446488894
"IM_NEG_341_108936a5_56483027267668"	212	"Cellobiose"	"C00185"	-5.46407545399647	33.0062258132766	0.775633446488894
"IM_NEG_341_108936a5_61797752808989"	285	"Melibiose"	"C05402"	NA	14.4903993434905	0.838892992491606
"IM_NEG_341_108936a5_88581518540318"	332	"Trehalose"	"C01083"	-0.0874854393832264	-14.2279414030009	0.0673293578836548
"IM_NEG_341_108936a5_94530321046373"	327	"Sucrose"	"C00089"	-0.111206598884588	-14.2647177044847	0.091093427020999
"IM_NEG_346_055809a5_74382538770821"	201	"Adenosine monophosphate"	"C00020"	NA	33.002628892845	0.304969637393405
"IM_NEG_347_039824a5_8343057176196"	253	"Inosinic acid"	"C00130"	0.121131495491986	0.657494550326654	0.169760439386473
"IM_NEG_362_050724a5_90318772136954"	245	"Guanosine monophosphate"	"C00144"	NA	32.2154779615694	0.264630773429553
"IM_NEG_363_034739a6_01684717208183"	344	"Xanthylic acid"	"C00655"	NA	NA	NA
"IM_NEG_367_358155a4_97760079641613"	357	"lignoceric acid"	"C08320"	NA	NA	NA
"IM_NEG_375_131008a5_33902829684997"	320	"Riboflavin"	"C00255"	NA	NA	NA
"IM_NEG_383_114313a5_36480686695279"	321	"S-Adenosylhomocysteine"	"C00021"	NA	32.3447465627544	0.422024500405949
"IM_NEG_386_015992a5_74712643678161"	348	"dCDP"	"C00705"	NA	NA	NA
"IM_NEG_402_010906a5_74052812858783"	207	"CDP"	"C00112"	0.0475072985501159	0.378494290753782	0.0974438531226148
"IM_NEG_402_994922a5_78368999421631"	338	"Uridine 5'-diphosphate"	"C00015"	-0.108122318923786	-14.4305027194861	0.077408642193468
"IM_NEG_421_075267a5_52791597567717"	333	"Trehalose 6-phosphate"	"C00689"	-1.26221214986628	-29.1735373834464	3.84993441371767
"IM_NEG_423_029868a5_61482313307131"	329	"Thiamine pyrophosphate"	"C00068"	NA	NA	NA
"IM_NEG_426_02214a5_41125541125541"	196	"ADP"	"C00008"	-0.243465934789272	-14.1964914178248	0.328531915416184
"IM_NEG_426_02214a5_53097345132743"	350	"dGDP"	"C00361"	-0.244493338528058	-14.3308641714864	0.325432456451657
"IM_NEG_440_132405a5_20562207183758"	234	"Folic acid"	"C00504"	1.01229226727243	-1.20393184668561	0.647106654058566
"IM_NEG_445_053106a5_31632110579479"	208	"CDP-Ethanolamine"	"C00570"	0.288164880454632	0.219158776198418	0.470195798618462
"IM_NEG_449_108936a5_05816894284269"	204	"Astilbin"	"C17449"	NA	NA	NA
"IM_NEG_455_097339a4_99750124937531"	233	"Flavin Mononucleotide"	"C00061"	0.0681014604255307	-0.363844938007406	0.152320685353556
"IM_NEG_466_966338a5_60224089635854"	228	"Deoxyuridine triphosphate"	"C00460"	NA	NA	NA
"IM_NEG_481_977237a5_52181115405853"	218	"Cytidine triphosphate"	"C00063"	0.0144426427342428	-0.613595736011188	0.0458098933974245
"IM_NEG_482_961253a5_55247084952804"	341	"Uridine triphosphate"	"C00075"	-0.354811540961252	-13.548555042023	1.11430097203328
"IM_NEG_487_100056a4_85672656629432"	213	"Citicoline"	"C00307"	0.00883018521264698	-1.63689890549219	0.118551460981618
"IM_NEG_505_988471a5_21104742053153"	351	"dGTP"	"C00286"	NA	32.6094737910446	0.29056744747394
"IM_NEG_505_988471a5_31067445565587"	202	"Adenosine triphosphate"	"C00002"	NA	32.6150553677915	0.290539642301223
"IM_NEG_521_983385a5_17063081695967"	236	"GTP"	"C00044"	-2.25921817237994	30.8728175951692	1.95989434049999
"IM_NEG_522_320129a4_42673749446658"	302	"PE(10:0/10:0)"	NA	0.075942878920825	-0.506145727051576	0.146654247904682
"IM_NEG_522_356514a4_33275563258232"	177	"2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine"	NA	NA	NA	NA
"IM_NEG_558_064399a4_83558994197292"	200	"Adenosine diphosphate ribose"	"C00301"	NA	32.3464898953406	0.389065937776537
"IM_NEG_558_064399a4_9480455220188"	199	"Adenosine diphosphate ribose"	"C00301"	NA	32.5441417368508	0.524771086927325
"IM_NEG_578_382729a4_19287211740042"	303	"PE(12:0/12:0)"	NA	NA	NA	NA
"IM_NEG_579_02701a4_7192071731949"	340	"Uridine diphosphate glucuronic acid"	"C00167"	NA	NA	NA
"IM_NEG_604_069878a4_78927203065134"	244	"Guanosine diphosphate mannose"	"C00096"	-2.63517000544219	32.9597711681159	1.32306561368114
"IM_NEG_634_445329a3_98724082934609"	304	"PE(14:0/14:0)"	"C00350"	NA	NA	NA
"IM_NEG_662_101847a4_4404973357016"	291	"NAD"	"C00003"	0.289038961287898	1.35047286076201	0.297786837306456
"IM_NEG_662_476629a3_90167772142021"	305	"PE(15:0/15:0)"	"C00350"	0.0273163696364347	-1.87834468673929	0.353899941833176
"IM_NEG_686_476629a3_45423143350604"	308	"PE(16:1(9Z)/16:1(9Z))"	"C00350"	NA	NA	NA
"IM_NEG_690_50793a3_80952380952381"	306	"PE(16:0/16:0)"	"C00350"	NA	NA	NA
"IM_NEG_716_52358a3_73831775700935"	307	"PE(16:0/18:1(9Z))"	"C00350"	-2.7285387858732	32.6813805877626	1.20395893342732
"IM_NEG_742_068178a4_33463372345037"	292	"NADP"	"C00006"	0.42933500546875	1.05043437935821	0.474231542179007
"IM_NEG_742_53923a3_6563071297989"	310	"PE(18:1(9Z)/18:1(9Z))"	"C00350"	-1.13032200713714	-31.9584729528233	1.45279161585668
"IM_NEG_744_083828a4_05350628293474"	293	"NADPH"	"C00005"	NA	NA	NA
"IM_NEG_746_57053a3_64166059723234"	309	"PE(18:0/18:0)"	"C00350"	NA	NA	NA
"IM_NEG_784_14986a4_19287211740042"	231	"FAD"	"C00016"	0.097427126528878	1.36670056011656	0.118815989346156
"IM_NEG_852_108328a3_96510705789056"	358	"malonyl-CoA"	"C00083"	NA	NA	NA
"IM_POS_104_070605a8_05152979066022"	6	"3-Aminoisobutyrate"	"C05145"	NA	NA	NA
"IM_POS_110_027025a7_96812749003984"	62	"Hypotaurine"	"C00519"	NA	NA	NA
"IM_POS_112_050538a8_51788756388416"	39	"Cytosine"	"C00380"	NA	NA	NA
"IM_POS_112_086923a8_30564784053156"	60	"Histamine"	"C00388"	-0.362094883205779	-12.4670199461267	1.91284373332265
"IM_POS_113_034553a7_92393026941363"	147	"Uracil"	"C00106"	-0.356457437512635	-7127836603329897	1.59663314979435e-16
"IM_POS_116_070605a7_94912559618442"	87	"L-Proline"	"C00148"	0.255836232903656	-0.258528261326258	0.680442905913262
"IM_POS_118_086255a8_25763831544178"	26	"Betaine"	"C00719"	1.51174658251529	27.8847719498084	0.144520010741226
"IM_POS_118_086255a8_27814569536424"	91	"L-Valine"	"C00183"	1.51174658251529	27.8847719498084	0.144520010741226
"IM_POS_119_033885a8_20344544708778"	140	"Succinic acid"	"C00042"	NA	NA	NA
"IM_POS_120_065519a7_85545954438335"	88	"L-Threonine"	"C00188"	NA	NA	NA
"IM_POS_120_065519a7_93021411578112"	80	"L-Homoserine"	"C00263"	NA	NA	NA
"IM_POS_121_050872a8_21692686935086"	126	"Purine"	"C15587"	-0.0648777357160533	-5.35233087487329	1.43085660695778
"IM_POS_122_027025a6_72947510094213"	75	"L-Cysteine"	"C00097"	NA	NA	NA
"IM_POS_123_055289a7_89265982636149"	101	"Niacinamide"	"C00153"	-2.39425006205673	31.912416520466	1.75007108489276
"IM_POS_124_039304a8_07102502017756"	103	"Nicotinic acid"	"C00253"	-0.335788607206516	-12.00789827368	1.78100918738482
"IM_POS_126_02194a7_44601638123604"	142	"Taurine"	"C00245"	NA	NA	NA
"IM_POS_126_02194a7_81860828772478"	141	"Taurine"	"C00245"	NA	NA	NA
"IM_POS_127_050203a8_19000819000819"	145	"Thymine"	"C00178"	0.242222150513537	0.364013747521649	0.365832285511653
"IM_POS_129_069876a8_38926174496644"	161	"naphthalene"	"C00829"	0.091166790138247	1.45086517236242	0.125748322730348
"IM_POS_130_049869a7_65696784073507"	131	"Pyroglutamic acid"	"C01879"	-2.37420285664205	32.7103234107372	1.59852188090842
"IM_POS_130_086255a7_84929356357928"	43	"DL-Pipecolic acid"	"C00408"	-0.300828286219893	-11.8859458757966	0.881494154550284
"IM_POS_131_117889a7_78816199376947"	95	"N-Acetylputrescine"	"C02714"	NA	NA	NA
"IM_POS_132_065519a7_65110941086458"	15	"5-Aminolevulinic acid"	"C00430"	NA	NA	NA
"IM_POS_132_065519a7_81860828772478"	163	"trans-4-hydroxy-L-proline"	"C01157"	NA	NA	NA
"IM_POS_132_101905a7_33137829912023"	104	"Norleucine"	"C01933"	0.368160657577749	-0.303708052183429	0.804263239665357
"IM_POS_132_101905a7_4019245003701"	83	"L-Leucine"	"C00123"	0.512490927277943	-0.0976158576357446	1.17302277511345
"IM_POS_132_101905a7_50187546886722"	81	"L-Isoleucine"	"C00407"	0.369342898056477	1.57496181141548	0.267646282952226
"IM_POS_132_101905a7_81860828772478"	41	"D-Leucine"	"C01570"	0.165771001362844	-1.20220368727177	0.722821187972105
"IM_POS_132_101905a7_83699059561129"	40	"D-Isoleucine"	NA	0.165771001362844	-1.20220368727177	0.722821187972105
"IM_POS_133_060768a7_65110941086458"	73	"L-Asparagine"	"C00152"	NA	NA	NA
"IM_POS_133_064791a8_23045267489712"	32	"Cinnamaldehyde"	"C00903"	1.29163767960051	29.1541820623199	0.129434594185685
"IM_POS_136_042675a7_68049155145929"	61	"Homocysteine"	"C00155"	NA	NA	NA
"IM_POS_136_061771a7_96178343949044"	19	"Adenine"	"C00147"	1.75346351692213	32.8619058184626	0.199516268396369
"IM_POS_137_045787a7_66283524904215"	63	"Hypoxanthine"	"C00262"	0.0699215347781083	-0.983208595206368	0.27889136901299
"IM_POS_137_132477a7_70416024653313"	29	"Camphene"	"C06076"	NA	NA	NA
"IM_POS_138_054955a7_85545954438335"	10	"4-Aminobenzoic acid"	"C00568"	NA	NA	NA
"IM_POS_138_09134a8_15660685154976"	146	"Tyramine"	"C00483"	NA	30.6682164358643	0.28391274766506
"IM_POS_146_165174a7_61614623000762"	137	"Spermidine"	"C00315"	NA	NA	NA
"IM_POS_147_076418a7_63941940412529"	78	"L-Glutamine"	"C00064"	0.152856789699196	0.546302643010664	0.22761769383757
"IM_POS_147_112804a7_60456273764259"	84	"L-Lysine"	"C00047"	0.149813836343691	0.91266330492017	0.20095265531743
"IM_POS_148_060434a7_63941940412529"	77	"L-Glutamic acid"	"C00025"	0.206193937677426	0.87988612507947	0.278527618439138
"IM_POS_148_060434a7_66283524904215"	106	"O-acetyl-L-serine"	"C00979"	0.200899938555077	0.780304608105535	0.280613257528509
"IM_POS_149_059706a6_92520775623269"	33	"Cinnamic acid"	"C10438"	NA	NA	NA
"IM_POS_150_058325a7_48502994011976"	85	"L-Methionine"	"C00073"	-0.997473358248498	-11.8954691338372	11.7554417210908
"IM_POS_150_077421a7_90513833992095"	9	"3-Methyladenine"	"C00913"	-2.81642180851969	22.9617697775975	1.25081689662108
"IM_POS_152_056686a7_63358778625954"	54	"Guanine"	"C00242"	0.0574103254359965	-0.133453625780837	0.127912471955769
"IM_POS_153_040701a7_52445447705041"	153	"Xanthine"	"C00385"	NA	NA	NA
"IM_POS_154_049869a7_61614623000762"	8	"3-Hydroxyanthranilic acid"	"C00632"	NA	NA	NA
"IM_POS_156_076753a7_55857898715042"	79	"L-Histidine"	"C00135"	1.06305452352112	32.5200696282579	0.128813414250338
